iter	Passed	Remaining
0	262	25989
1	308	15109
2	326	10566
3	385	9262
4	406	7719
5	475	7454
6	516	6865
7	538	6191
8	576	5828
9	597	5380
10	609	4933
11	631	4627
12	638	4275
13	654	4020
14	670	3797
15	684	3595
16	696	3402
17	708	3225
18	721	3077
19	735	2942
20	750	2824
21	766	2716
22	777	2604
23	789	2500
24	805	2415
25	820	2336
26	834	2256
27	849	2183
28	864	2116
29	877	2046
30	887	1976
31	903	1919
32	922	1872
33	937	1819
34	953	1770
35	968	1721
36	982	1673
37	999	1630
38	1014	1586
39	1031	1547
40	1046	1505
41	1059	1463
42	1074	1423
43	1086	1383
44	1100	1344
45	1115	1309
46	1124	1268
47	1136	1231
48	1151	1198
49	1165	1165
50	1179	1133
51	1192	1101
52	1204	1067
53	1219	1038
54	1234	1009
55	1249	981
56	1262	952
57	1274	922
58	1286	893
59	1297	865
60	1309	836
61	1320	809
62	1333	783
63	1343	755
64	1356	730
65	1367	704
66	1379	679
67	1390	654
68	1401	629
69	1412	605
70	1423	581
71	1434	557
72	1444	534
73	1457	511
74	1471	490
75	1482	468
76	1492	445
77	1503	424
78	1514	402
79	1524	381
80	1536	360
81	1547	339
82	1559	319
83	1572	299
84	1583	279
85	1593	259
86	1605	239
87	1616	220
88	1627	201
89	1639	182
90	1650	163
91	1662	144
92	1673	125
93	1684	107
94	1696	89
95	1706	71
96	1719	53
97	1730	35
98	1741	17
99	1753	0
